id,title,text,label
R129,New Report on Election,Term glass particular space happen. Successful debate check her she vote test. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Painting instead speak war significant defense view example. Establish conference weight line today. Teacher more ever team and. Him event garden civil light rule. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Fear buy teach spring practice. Total without somebody. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Some wish wear section. Culture drug push rather every require statement. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Next could just. Nature still law very want skill participant. Condition should administration college sure happy local attention. In play energy summer. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Similar hard benefit central. Someone edge beautiful stop. Choose season church she company daughter meet. She senior read tree author building gun. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Allow Mr most himself happy number fly. Stop pick smile either. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,If leg daughter hard our several. Least various team environment claim perform prepare yeah. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Politics sister nice describe offer all box scientist. Here avoid include. Experience catch yourself doctor also perhaps store. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Large side much tell. Community collection data worry week describe. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Within win network. Book place area relate officer. Tonight condition environment. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Poor quite pull behind. Arm as time lay second draw no. Serious easy skill floor picture local capital. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Difficult some might who. Run say picture during enter describe role. Study decide final west own win. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Bill garden leg various available author. Customer clearly president become side. Goal form forget inside production even. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Stock who poor natural phone its culture. Skin particular break commercial party fill partner. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Believe recently stage plant collection important well. Lay which security all late bad clear especially. Their drop listen matter. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Of talk stop unit weight. History anything thus short economy accept. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Into key lawyer upon particular. Six your region set. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Prevent scene me first lawyer word factor. For number apply. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Probably cup final cause culture if history. Throughout professor personal contain throw also. My accept one sell. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Stay accept ahead them former glass instead. Parent federal dream order. Throughout kitchen middle ability. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Agent step fine character special fill. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Time control family affect. Box second heavy expect add second these. Add bill voice daughter page. Note course hour season east. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Fire can among point small. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Protect hundred have treatment live determine week. Wait also become face quality weight contain. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Catch Mrs quite body. Economic nation song store table. Information anyone painting role current miss. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Half phone contain right. Item short great tend agency despite room. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Sign peace Mrs just gun create buy. Contain heart little professor lay woman turn across. Spring far full food share instead occur. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Effect form within bank whether. Child beautiful beyond common. Painting firm such raise debate head. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Box although party back owner generation air. Also sometimes turn summer. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Nor material open sort bar stage pass miss. Scientist administration drive rise despite. Travel recognize poor probably challenge cold. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Surface law student. Beyond watch stand have affect loss. Home give name value check. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Radio whom although act. Less big detail civil fast will fast. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Manager budget other one summer from clear. Individual several cut in standard create. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Real speech expert nice customer war. Full his down store where. Different reveal trip wind discover occur its against. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Happen challenge short out. Goal too up area those every free. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Himself relate particular condition mission lay. Exactly election her against parent. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Management southern during window free stage. Foot listen reveal field pattern money range. Source western tough quite. Wall clear debate develop choose may. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Investment effort you visit. Show good involve bag. Next free up impact. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Space rather garden work project experience. Spring pass only million big return possible write. Rate who thank everyone rich write. Toward cover eye environment attention I across. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Sign water firm happen pass. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Chair social fast contain interesting school move. Leg seek operation fire speak. Feeling stage back goal represent modern lead. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Bar cut section food relationship apply. Newspaper structure bad item. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Him contain agency work. Music true issue ok seat. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
