id,filtered_words_array,features,label_index
R129,"['term', 'glass', 'particular', 'space', 'happen.', 'successful', 'debate', 'check', 'vote', 'test.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[2188,3556,3614,3901,4506,4687,5659,6235,6932,8276,8960,8984,9188,9214,9462],[4.42484663185681,2.8844015909096608,0.691153161953081,4.42484663185681,0.691153161953081,0.691153161953081,4.830311739964974,5.117993812416755,3.914021008090819,4.019381523748645,4.607168188650764,4.270695952029551,4.019381523748645,4.42484663185681,0.691153161953081])",1.0
R227,"['painting', 'instead', 'speak', 'war', 'significant', 'defense', 'view', 'example.', 'establish', 'conference', 'weight', 'line', 'today.', 'teacher', 'ever', 'team', 'and.', 'event', 'garden', 'civil', 'light', 'rule.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[468,593,821,1034,1182,1720,1834,2059,2086,2923,3543,3614,3882,4506,4527,4687,4732,5594,5657,5936,7293,7711,7728,8004,8552,8708,8719,9462],[4.019381523748645,4.137164559405029,2.849310271098391,3.8187108282864943,4.607168188650764,3.8187108282864943,5.523458920524919,2.6330871626287546,4.830311739964974,3.8187108282864943,4.607168188650764,0.691153161953081,4.607168188650764,0.691153161953081,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,4.270695952029551,4.019381523748645,5.117993812416755,4.607168188650764,4.42484663185681,3.6516567436233283,4.137164559405029,4.830311739964974,3.914021008090819,0.691153161953081])",1.0
F231,"['fear', 'buy', 'teach', 'spring', 'practice.', 'total', 'without', 'somebody.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[80,503,650,1644,3567,4043,5850,6279,7281,7936,8338,8522,8741,9513],[4.137164559405029,0.691153161953081,2.958509563063383,4.019381523748645,5.117993812416755,4.42484663185681,0.691153161953081,4.607168188650764,0.6792718340663283,0.691153161953081,0.691153161953081,4.270695952029551,4.830311739964974,3.7316994512968646])",0.0
R066,"['wish', 'wear', 'section.', 'culture', 'drug', 'push', 'rather', 'every', 'require', 'statement.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[495,1133,2837,3548,3614,4506,4687,5978,6581,6944,7860,8449,8645,9462,9681],[4.270695952029551,5.117993812416755,4.019381523748645,5.523458920524919,0.691153161953081,0.691153161953081,0.691153161953081,4.270695952029551,4.607168188650764,2.8154087194227095,2.8154087194227095,4.137164559405029,4.42484663185681,0.691153161953081,3.914021008090819])",1.0
F095,"['next', 'just.', 'nature', 'still', 'law', 'want', 'skill', 'participant.', 'condition', 'administration', 'college', 'sure', 'happy', 'local', 'attention.', 'play', 'energy', 'summer.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[228,503,1208,1457,1762,1821,2173,2191,3184,3611,3712,3979,5185,5328,5347,5850,7281,7712,7936,8057,8203,8273,8307,8338,9968],[4.270695952029551,0.691153161953081,2.849310271098391,5.523458920524919,4.270695952029551,3.914021008090819,4.830311739964974,4.607168188650764,2.8154087194227095,4.137164559405029,4.270695952029551,3.914021008090819,4.270695952029551,3.6516567436233283,4.137164559405029,0.691153161953081,0.6792718340663283,4.270695952029551,0.691153161953081,4.607168188650764,4.607168188650764,3.914021008090819,4.137164559405029,0.691153161953081,4.137164559405029])",0.0
R174,"['similar', 'hard', 'benefit', 'central.', 'someone', 'edge', 'beautiful', 'stop.', 'choose', 'season', 'church', 'company', 'daughter', 'meet.', 'senior', 'read', 'tree', 'author', 'building', 'gun.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[942,1273,2347,2358,3614,3671,3921,4144,4506,4687,5125,5653,5852,5871,6271,6917,6944,7046,7586,7623,7650,9350,9462,9706],[4.137164559405029,7.3033134872466565,4.42484663185681,4.607168188650764,0.691153161953081,5.117993812416755,4.019381523748645,4.42484663185681,0.691153161953081,0.691153161953081,4.42484663185681,3.914021008090819,3.914021008090819,4.42484663185681,4.270695952029551,5.117993812416755,2.8154087194227095,4.137164559405029,4.607168188650764,4.270695952029551,4.019381523748645,4.270695952029551,0.691153161953081,3.914021008090819])",1.0
R201,"['allow', 'mr', 'happy', 'number', 'fly.', 'stop', 'pick', 'smile', 'either.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[796,1770,2647,2713,3614,4506,4687,4835,5347,6219,7230,7372,7632,8519,9462],[3.7316994512968646,2.997730276216664,4.019381523748645,4.137164559405029,0.691153161953081,0.691153161953081,0.691153161953081,4.42484663185681,4.137164559405029,3.172083663361442,5.117993812416755,3.914021008090819,4.830311739964974,4.607168188650764,0.691153161953081])",1.0
R072,"['leg', 'daughter', 'hard', 'several.', 'least', 'various', 'team', 'environment', 'claim', 'perform', 'prepare', 'yeah.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[74,468,1098,1634,2286,2407,3614,4506,4687,5047,5125,6290,6647,7623,8134,8937,9462],[5.117993812416755,4.019381523748645,3.8187108282864943,4.830311739964974,4.42484663185681,3.914021008090819,0.691153161953081,0.691153161953081,0.691153161953081,2.7200985396183848,4.42484663185681,4.270695952029551,4.270695952029551,4.270695952029551,5.117993812416755,4.607168188650764,0.691153161953081])",1.0
R064,"['politics', 'sister', 'nice', 'describe', 'offer', 'box', 'scientist.', 'avoid', 'include.', 'experience', 'catch', 'doctor', 'also', 'perhaps', 'store.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[777,1259,1388,2958,3370,3521,3614,3635,3792,4506,4687,5887,7066,7085,7443,7922,7949,8403,9166,9462],[4.137164559405029,4.270695952029551,4.42484663185681,3.7316994512968646,4.270695952029551,4.270695952029551,0.691153161953081,4.019381523748645,3.914021008090819,0.691153161953081,0.691153161953081,4.137164559405029,2.8844015909096608,4.019381523748645,5.523458920524919,3.6516567436233283,4.019381523748645,4.607168188650764,4.607168188650764,0.691153161953081])",1.0
F037,"['large', 'side', 'much', 'tell.', 'community', 'collection', 'data', 'worry', 'week', 'describe.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,524,1256,1695,5122,5850,7022,7281,7309,7860,7936,8174,8209,8338,8343,9083,9781],[0.691153161953081,3.8187108282864943,3.125563647726549,4.830311739964974,4.42484663185681,0.691153161953081,4.42484663185681,0.6792718340663283,4.830311739964974,2.8154087194227095,0.691153161953081,4.137164559405029,3.6516567436233283,0.691153161953081,4.270695952029551,4.830311739964974,5.117993812416755])",0.0
R170,"['within', 'win', 'network.', 'book', 'place', 'area', 'relate', 'officer.', 'tonight', 'condition', 'environment.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']","(10000,[393,988,1020,2227,2398,3389,3614,4506,4687,5089,5328,5649,6390,6511,7515,9462,9817],[4.42484663185681,4.137164559405029,2.4324164671666035,2.7200985396183848,5.117993812416755,4.607168188650764,0.691153161953081,0.691153161953081,0.691153161953081,3.6516567436233283,3.6516567436233283,4.270695952029551,4.830311739964974,5.117993812416755,4.830311739964974,0.691153161953081,3.4440173788450834])",1.0
F110,"['poor', 'quite', 'pull', 'behind.', 'arm', 'time', 'lay', 'second', 'draw', 'no.', 'serious', 'easy', 'skill', 'floor', 'picture', 'local', 'capital.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[101,228,503,760,1117,2470,2481,3486,3984,4319,4475,4921,5850,6056,6597,7281,7936,8103,8157,8167,8271,8338,9256,9968],[4.830311739964974,4.270695952029551,0.691153161953081,4.270695952029551,3.7316994512968646,5.117993812416755,3.8187108282864943,2.849310271098391,4.830311739964974,3.5085558999826545,3.6516567436233283,2.849310271098391,0.691153161953081,3.914021008090819,4.270695952029551,0.6792718340663283,0.691153161953081,4.42484663185681,4.607168188650764,4.137164559405029,5.523458920524919,0.691153161953081,3.7316994512968646,4.137164559405029])",0.0
