id,title,filtered_words,label
R129,New Report on Election,"['term', 'glass', 'particular', 'space', 'happen.', 'successful', 'debate', 'check', 'vote', 'test.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['painting', 'instead', 'speak', 'war', 'significant', 'defense', 'view', 'example.', 'establish', 'conference', 'weight', 'line', 'today.', 'teacher', 'ever', 'team', 'and.', 'event', 'garden', 'civil', 'light', 'rule.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['fear', 'buy', 'teach', 'spring', 'practice.', 'total', 'without', 'somebody.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['wish', 'wear', 'section.', 'culture', 'drug', 'push', 'rather', 'every', 'require', 'statement.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['next', 'just.', 'nature', 'still', 'law', 'want', 'skill', 'participant.', 'condition', 'administration', 'college', 'sure', 'happy', 'local', 'attention.', 'play', 'energy', 'summer.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['similar', 'hard', 'benefit', 'central.', 'someone', 'edge', 'beautiful', 'stop.', 'choose', 'season', 'church', 'company', 'daughter', 'meet.', 'senior', 'read', 'tree', 'author', 'building', 'gun.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['allow', 'mr', 'happy', 'number', 'fly.', 'stop', 'pick', 'smile', 'either.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['leg', 'daughter', 'hard', 'several.', 'least', 'various', 'team', 'environment', 'claim', 'perform', 'prepare', 'yeah.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['politics', 'sister', 'nice', 'describe', 'offer', 'box', 'scientist.', 'avoid', 'include.', 'experience', 'catch', 'doctor', 'also', 'perhaps', 'store.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['large', 'side', 'much', 'tell.', 'community', 'collection', 'data', 'worry', 'week', 'describe.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
